"","Codes","Cantons","Tasa_2014","Tasa_2015","Tasa_2016","Tasa_2017","Tasa_2018","Tasa_2019","Tasa_2020","Tasa_2021"
"194","2402","La Libertad",35.6158734324329,87.5051812278359,18.1116765979027,8.01553232040754,10.5149706895192,4.31212915689251,5.943940153014,32.6157860404436
"195","2403","Salinas",12.5417011563448,68.1995323460639,20.1109652080302,24.1404283201711,12.2925629993854,5.43377854092179,11.6291362723332,126.538002551335
"196","2401","Santa Elena",44.4590611220736,202.711940981696,51.6606879578356,33.451832196538,7.20245548328476,8.6654174023245,6.35522531921767,47.6597508223897
"197","2302","La Concordia",0,0,0,0,0,0,0,0
"198","2301","Santo Domingo",12.4084874053853,85.688984788415,32.0910730598955,13.3379632930052,19.4223872372332,35.5008054245231,68.4722403942605,74.6108657433215
"199","2106","Cascales",0,0,0,0,0,0,0,0
"200","2107","Cuyabeno",0,0,0,0,0,0,0,0
"201","2102","Gonzalo Pizarro",0,0,0,0,0,0,0,0
"202","2101","Lago Agrio",38.3446609852661,230.201285758401,156.295700497221,64.3109793133017,21.8334890788888,140.113457726745,213.221399066843,141.647698429594
"203","2103","Putumayo",0,0,0,0,0,0,0,0
"204","2104","Shushufindi",87.2046931980339,189.544127033248,13.2197692206002,25.830258302583,21.6415084131364,104.060107940315,53.4953148458127,92.9054054054054
"205","2105","Sucumbíos",0,0,0,0,0,0,0,0
"206","1801","Ambato",0.277358658027869,2.46526712538896,0.81173662934482,0.267331073494659,0,0.783410499267511,0.774575339070355,0
"207","1802","Baños de Agua Santa",0,0,0,0,0,0,0,0
"208","1803","Cevallos",0,0,0,0,0,0,0,0
"209","1804","Mocha",0,0,0,0,0,0,0,0
"210","1805","Patate",0,0,0,0,0,0,0,0
"211","1806","Quero",0,0,0,0,0,0,0,0
"212","1807","San Pedro de Pelileo",0,3.18486551905346,3.14401144420166,0,0,1.51425672708551,0,0
"213","1808","Santiago de Pillaro",0,0,0,0,0,0,0,0
"214","1809","Tisaleo",0,0,0,0,0,0,0,0
"215","1907","Centinela del Cóndor",0,0,0,0,0,0,0,0
"216","1902","Chinchipe",0,29.4985250737463,0,0,19.0621425848265,0,0,0
"217","1906","El Pangui",0,0,0,0,0,0,0,0
"218","1903","Nangaritza",0,0,0,0,0,0,0,0
"219","1908","Palanda",0,0,0,0,0,0,0,0
"220","1909","Paquisha",0,0,0,0,0,0,0,0
"221","1904","Yacuambi",0,0,0,0,0,0,0,0
"222","1905","Yantzaza",36.1892698814801,43.8404208680403,0,4.1243916522313,8.00864934128859,175.042788237125,41.5926192006655,316.281122430216
"223","1901","Zamora",10.3050288540808,33.6304018833025,13.1774007577005,9.68741927150607,6.33452633579324,43.5161009573542,9.15722963279509,8.99793047599052
