fid,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,DPA_VALOR,Shape_Leng,Shape_Area,lat,lon,,Region
193,1808,SANTIAGO DE PILLARO,18,TUNGURAHUA,2010,0,119552.3174,446366289.5,-1.124,-78.452,,Interandean
194,1809,TISALEO,18,TUNGURAHUA,2010,0,40668.49077,59130614.94,-1.366,-78.68,,Interandean
195,1901,ZAMORA,19,ZAMORA CHINCHIPE,2010,0,235085.9126,1899543822,-4.013,-78.983,,Interandean
196,1902,CHINCHIPE,19,ZAMORA CHINCHIPE,2010,0,210746.8189,1150479909,-4.848,-79.163,,Interandean
197,1903,NANGARITZA,19,ZAMORA CHINCHIPE,2010,0,235694.7255,2020428191,-4.343,-78.763,,Amazonia
198,1904,YACUAMBI,19,ZAMORA CHINCHIPE,2010,0,180931.9295,1254327246,-3.608,-78.967,,Amazonia
199,1905,YANTZAZA,19,ZAMORA CHINCHIPE,2010,0,186705.1655,1015902622,-3.747,-78.665,,Amazonia
200,1906,EL PANGUI,19,ZAMORA CHINCHIPE,2010,0,128555.9143,631756907.8,-3.623,-78.536,,Amazonia
201,1907,CENTINELA DEL CONDOR,19,ZAMORA CHINCHIPE,2010,0,97000.02685,261653551.4,-3.935,-78.749,,Amazonia
202,1908,PALANDA,19,ZAMORA CHINCHIPE,2010,0,277837.5784,1992162111,-4.569,-79.094,,Amazonia
203,1909,PAQUISHA,19,ZAMORA CHINCHIPE,2010,0,118680.0348,339533374.3,-3.945,-78.596,,Amazonia
204,2001,SAN CRISTOBAL,20,GALAPAGOS,2010,0,340416.069,843278301.7,-0.845,-89.438,,Amazonia
205,2002,ISABELA,20,GALAPAGOS,2010,0,862580.3353,5526818840,-0.461,-91.09,,Amazonia
206,2003,SANTA CRUZ,20,GALAPAGOS,2010,0,579709.8751,1857689369,-0.599,-90.321,,Amazonia
207,2101,LAGO AGRIO,21,SUCUMBIOS,2010,0,461792.2203,3157313910,0.11,-76.777,,Amazonia
208,2102,GONZALO PIZARRO,21,SUCUMBIOS,2010,0,356612.7787,2234272220,0.082,-77.587,,Amazonia
209,2103,PUTUMAYO,21,SUCUMBIOS,2010,0,583204.0676,3549909888,0.079,-76.011,,Amazonia
210,2104,SHUSHUFINDI,21,SUCUMBIOS,2010,0,392454.0848,2533444744,-0.29,-76.542,,Amazonia
211,2105,SUCUMBIOS,21,SUCUMBIOS,2010,0,232652.5837,1518481990,0.402,-77.623,,Amazonia
212,2106,CASCALES,21,SUCUMBIOS,2010,0,227716.82,1252376365,0.146,-77.233,,Amazonia
213,2107,CUYABENO,21,SUCUMBIOS,2010,0,598475.8476,3900758640,-0.28,-75.879,,Amazonia
214,2201,ORELLANA,22,ORELLANA,2010,0,736545.8214,7079470669,-0.654,-76.773,,Amazonia
215,2202,AGUARICO,22,ORELLANA,2010,0,789714.5936,11243060908,-0.95,-75.882,,Amazonia
216,2203,LA JOYA DE LOS SACHAS,22,ORELLANA,2010,0,220847.8431,1202124722,-0.28,-76.891,,Amazonia
217,2204,LORETO,22,ORELLANA,2010,0,298711.7174,2150754567,-0.644,-77.353,,Amazonia
218,2301,SANTO DOMINGO,23,SANTO DOMINGO DE LOS TSACHILAS,2010,0,416220.6478,3446154223,-0.306,-79.177,,Amazonia
219,2401,SANTA ELENA,24,SANTA ELENA,2010,0,375000.1186,3601554201,-2.136,-80.569,,Amazonia
220,2402,LA LIBERTAD,24,SANTA ELENA,2010,0,25538.50803,25154934.07,-2.24,-80.895,,Coast
221,2403,SALINAS,24,SANTA ELENA,2010,0,59247.06525,70249727.19,-2.259,-80.92,,Coast
,,,,,,,,,,,,Coast
,,,,,,,,,,,,Coast
